coll_lecture	coll_session	subj	text_id	sentence	sentence.1	label_ref	sentiment	gibbs veronika	gibbs jessica	final
ethics	2	0	1	Über die WEKA-Übung:	About the WEKA exercise:	0	3	0	0	0.0
ethics	2	0	1	Weka an sich ist intuitiv, die Anwendung konnte ich somit gut verstehen.	Weka in itself is intuitive, so I could understand the application well.	1	4	2	2022-04-02 00:00:00	2.0
ethics	2	0	1	Tatsächlich hatte ich einige Schwierigkeiten mit der Transformation meiner optimierten Ordnerstruktur für ein geeignetes (unbiased) Trainingset in das .arff-Format (v.a., da der entsprechende Python-Skript auf französisch ist und ich kein Französisch kann).	In fact, I had some difficulties with the transformation of my optimized folder structure for a suitable (unbiased) training set into the .arff format (especially since the corresponding Python script is in French and I don't know French).	1	2	2	0/1/2/	1.0
ethics	2	0	1	Nach einiger Einarbeitung mit Hilfe von Google und einem ML-Learning-Studenten, der sich bereit erklärt hat, mir zu helfen, konnte ich die Aufgabe dann auch ohne vorherige Programmierkenntnisse lösen.	After some training with the help of Google and a ML-Learning student who agreed to help me, I was then able to solve the task without any prior programming knowledge.	1	3	0	2	0.0
ethics	2	0	2	Ich habe versucht, die ersten beiden Aufgaben zu lösen, das war am 24. und 25. April.	I tried to solve the first two tasks, which was on April 24 and 25.	1	3	0	0	0.0
ethics	2	0	2	Ich habe mich mit ethischen Ansätzen vertraut gemacht, die berücksichtigt werden sollten, wenn wir Klassifikatoren zur Entscheidungsfindung einsetzen	I familiarized myself with ethical approaches that should be considered when we use classifiers to make decisions	1	3	0	0	0.0
ethics	2	0	3	Ich kenne Weka bereits und es war einfach, mit der Aufgabe für mich umzugehen, sogar habe ich mein Wissen mit den Teamkollegen in der Breakout-Session geteilt, aber wenn es um die Diskussion geht, warum dieser Lebenslauf abgelehnt wurde oder nicht, sind Argumentation und Brainstorming schwierig.	I already know Weka and it was easy to deal with the task for me, even I shared my knowledge with teammates in the breakout session, but when it comes to discussing why this CV was rejected or not, reasoning and brainstorming are difficult.	1	6	2	2022-03-02 00:00:00	2.0
ethics	2	0	3	Vielleicht ist die Hauptursache, dass ich mich zu sehr auf technische Dinge konzentriere und mich in diesen Fächern verbessern muss.	Maybe the main cause is that I focus too much on technical things and need to improve in those subjects.	1	3	3	3	3.0
ethics	2	0	4	Schöne Diskussion, vor allem die unterschiedlichen Perspektiven aufgrund der heterogenen Gruppe.	Nice discussion, especially the different perspectives due to the heterogeneous group.	1	4	2	2	2.0
ethics	2	0	5	In der Diskussion mit einer kleinen Gruppe nach der Präsentation ging es um den Bottom-up-Ansatz.	The discussion with a small group after the presentation was about the bottom-up approach.	0	3	0	0	0.0
ethics	2	0	5	Ich denke, dass die ethischen Probleme auf verschiedenen Ebenen angegangen werden müssen, da wir keine subjektiven Definitionen von Ethik haben, denen wir alle als Menschen zustimmen	I think the ethical issues need to be addressed at different levels because we don't have subjective definitions of ethics that we all agree with as humans	1	3	3	3	3.0
ethics	2	0	6	In der Gruppe ist mehr jetzt Lesen und recherchieren angesagt	In the group, more now is reading and researching	0	3	0	0	0.0
ethics	2	0	7	Ich denke zurück an die Konzeption des KI-Projekts und die konkrete Aufgabe, die erforderlichen Informationen für die Ideenskizze zusammenzustellen, mit meinen Kommilitonen.	I think back to the conception of the AI project and the specific task of gathering the necessary information for the idea outline, with my fellow students.	1	3	2	0/3	0.0
ethics	2	0	7	Wir definierten die Technik, mit der wir uns beschäftigen wollten, wir definierten den Umfang des Projekts und das Ergebnis.	We defined the technology we wanted to deal with, we defined the scope of the project and the outcome.	0	3	0	0	0.0
ethics	2	0	7	All diese Entscheidungen wurden einvernehmlich und aus der Notwendigkeit heraus getroffen.	All of these decisions were made by consensus and out of necessity.	0	3	0	0/2	0.0
ethics	2	0	8	Ich weiß nicht wirklich, was ich hier eintragen soll...	I don't really know what to put here....	0	3	0	-	0.0
ethics	2	0	9	Ich war in einer großen Gruppe und habe mich nicht aktiv an der Diskussion beteiligt, obwohl ich mich für das heutige Thema interessiere.	I was in a large group and did not actively participate in the discussion, although I am interested in today's topic.	1	4	0	0/2/1/	1.0
ethics	2	0	9	Ich hatte nicht das Gefühl, einen Punkt zur Diskussion beitragen zu können.	I didn't feel like I had a point to contribute to the discussion.	1	2	3	0/1/3/	0.0
ethics	2	0	10	Die Concept-Map Gruppenarbeit hat gut funktioniert, offene Fragen wurden innerhalb der besprochen und diskutiert.	The concept map group work worked well, open questions were discussed and debated within the.	1	4	2	2	2.0
ethics	2	0	10	Hier war hilfreich, dass es eine konkrete Anforderung gab.	It was helpful here that there was a specific requirement.	1	4	2	2	2.0
ethics	2	0	11	Die Diskussionen mit den verschiedenen Gruppen waren informativ und beleuchteten die angesprochenen Probleme aus verschiedenen Blickwinkeln	The discussions with the different groups were informative and shed light on the issues raised from different perspectives	1	4	2	2	2.0
ethics	2	0	12	Eine kleine Herausforderung war die Annäherung an unsere konkrete Forschungsfrage, da unser Thema sehr umfassend ist und verschiedene Level der Spezifizierung möglich sind.	Approaching our specific research question was a bit of a challenge, as our topic is very broad and different levels of specification are possible.	1	2	3	2022-03-02 00:00:00	3.0
ethics	2	0	12	Im Kontrast zwischen einem technischen Bottom-Up Ansatz und einem eher theoretischen Top-Down Ansatz entschieden wir uns schließlich für einen Bottom-Up Ansatz, der jedoch Top-Down-Elemente integriert.	Contrasting a technical bottom-up approach with a more theoretical top-down approach, we finally decided to take a bottom-up approach but integrating top-down elements.	1	3	4	0/4	4.0
ethics	2	0	12	Im Rahmen unserer Gruppe (Ethics-Legal Governors, Group 3) haben wir uns durchschnittlich einmal pro Woche zusätzlich online verabredet, um Recherche-Ergebnisse zu teilen und die nächsten Projektschritte zu planen.	Within our group (Ethics-Legal Governors, Group 3) we additionally met online on average once a week to share research results and plan next project steps.	1	3	0	0	0.0
ethics	2	0	12	Prof. unterstütze uns mit einer Einführung in HOL/Isabelle, die für die Problemlösung unserer Aufgabenstellung - dem 'Hiring-Dilemma' mit Bezug auf verschiedene rechtliche Artikel aus dem AI Act Proposal, der EU Charta und dem GDPR - wichtig ist.	Prof. support us with an introduction to HOL/Isabelle, which is important for problem solving our task - the 'hiring dilemma' with reference to various legal articles from the AI Act Proposal, the EU Charter and the GDPR.	1	3	2	0	2.0
ethics	2	0	13	Das kann ich leider nicht beantworten bzw. habe ich keine konkreten Erfahrungen, die ich im Einzelfall vorlegen kann.	Unfortunately, I can't answer that or I don't have any concrete experience to present in individual cases.	0	2	0	0/2/3/	0.0
ethics	2	0	14	Meine Gruppenmitglieder, mit Professor und Mentoren helfen sehr.	My group members, with professor and mentors help a lot.	0	3	2	0/2	2.0
ethics	2	0	14	Ich arbeite mit Logikey.	I work with Logikey.	0	3	0	0	0.0
ethics	2	0	14	Ich habe ein Mapping über Fake News gemacht.	I did a mapping on Fake News.	0	3	0	0	0.0
ethics	2	0	14	Die Regierung und politisch beeinflusste Menschen nutzen das manchmal zu ihrem eigenen Vorteil.	The government and politically influenced people sometimes use that to their own advantage.	1	3	2	0	0.0
ethics	2	1	1	Die Aufgabe war ein sehr guter Einstieg in ML generell, da WEKA durch das GUI sehr intuitiv ist.	The assignment was a very good introduction to ML in general because WEKA is very intuitive through the GUI.	1	5	3	2022-03-02 00:00:00	3.0
ethics	2	1	1	Die Funktionalitäten sind schön übersichtlich dargestellt und dienen einer Einführung.	The functionalities are nicely laid out and serve as an introduction.	1	4	2	2022-03-02 00:00:00	2.0
ethics	2	1	1	Meine initialen Berührungsängste mit dem Programmieren konnten abgeschwächt werden.	My initial fears of contact with programming could be mitigated.	1	6	4	2022-04-02 00:00:00	4.0
ethics	2	1	1	Das Gelernte war sehr hilfreich und hat mich noch neugieriger gemacht.	What I learned was very helpful and made me even more curious.	1	5	2	1/2/4/	4.0
ethics	2	1	2	Als das Vertrauen in den Klassifikator neu war, bin ich nicht zuversichtlicher geworden, sondern eher vorsichtiger und kritischer, ich muss meine Fähigkeiten mehr verfeinern, um dieses Wissen in der Praxis anwenden zu können, ich muss mehr lernen, wie ich es besser machen kann.	When the confidence in the classifier was new, I did not become more confident, but rather more cautious and critical, I need to refine my skills more to apply this knowledge in practice, I need to learn more how to do it better.	1	6	4	2022-04-02 00:00:00	4.0
ethics	2	1	3	Nach jeder Woche glaube ich, dass es einfacher wird, die Diskussionen zu leiten und sich an ihnen zu beteiligen, denn Wissen hat das größte Gewicht.	After each week, I think it becomes easier to lead and participate in the discussions because knowledge carries the most weight.	1	4	3	2022-03-02 00:00:00	3.0
ethics	2	1	3	Ich habe vor, mehr über Ethik und KI zu lesen, vor allem mehr aus sozialer und philosophischer Perspektive.	I plan to read more about ethics and AI, especially more from a social and philosophical perspective.	1	3	5	5	5.0
ethics	2	1	4	Ich habe eine neue Perspektive auf das Thema gelernt.	I have learned a new perspective on the subject.	1	3	0	0/2	0.0
ethics	2	1	5	Es ist neu, zu lernen, wie man über ethische Probleme denkt und lernt, ich werde es in meinem täglichen Leben anwenden, nicht nur in der Praxis, ich plane, mehr zu wissen und meine Werkzeuge zu verbessern, um effizientere Lösungen zu bekommen, es hängt vom Fall ab!	It is new to learn how to think and learn about ethical problems, I will apply it in my daily life, not only in practice, I plan to know more and improve my tools to get more efficient solutions, it depends on the case!	1	3	5	5	5.0
ethics	2	1	6	vielleicht mehr Trennung von Themen	maybe more separation of subjects	0	3	2	0	2.0
ethics	2	1	7	Ich lernte mehr über das spezifische Thema, das wir uns vorgenommen hatten, zu verstehen.	I learned more about the specific topic we set out to understand.	1	3	0	0	0.0
ethics	2	1	7	Am neuartigsten waren die erforderlichen Hintergrundlektüren, die für die Ausarbeitung des Projekts erforderlich waren, und die Diskussion über das Ergebnis und die Präsentation des Projekts, bei der ich in neue Technologien eingeführt wurde.	The most novel part was the background readings required to work out the project and the discussion on the outcome and presentation of the project where I was introduced to new technologies.	1	3	2	2	2.0
ethics	2	1	7	Die Technologie werde ich anwenden lernen, das Hintergrundwissen wird dafür notwendig sein.	The technology I will learn to use, the background knowledge will be necessary for that.	1	3	3	2022-03-02 00:00:00	2.0
ethics	2	1	7	Ich fühle mich nicht sicherer, da wir jetzt liefern und konkreter werden müssen.	I don't feel more confident now that we need to deliver and be more concrete.	1	2	1	1	1.0
ethics	2	1	7	Was verbessert werden könnte, ist die Kommunikation zwischen den Gruppen und die Kommunikation der Kursorganisatoren, was von einer bestimmten Aufgabe erwartet wird.	What could be improved is communication between groups and course organizers communicating what is expected of a particular assignment.	1	6	5	2022-04-03 00:00:00	4.0
ethics	2	1	8	Interessanter Diskussionsbeitrag.	Interesting discussion piece.	0	4	2	2022-02-01 00:00:00	2.0
ethics	2	1	9	Es ist schwer vorherzusagen, ob ich das heute Gelernte auf andere Aufgaben anwenden kann, aber ich habe eine neue Perspektive gelernt.	It is hard to predict if I will be able to apply what I learned today to other tasks, but I did learn a new perspective.	1	6	2	2022-03-02 00:00:00	3.0
ethics	2	1	10	Ja ich habe einiges gelernt, eigentlich zu jede Woche zu jedem Thema.	Yes I have learned some things, actually to every week to every topic.	1	4	0	0/2	0.0
ethics	2	1	10	Einiges ist stärker hängen geblieben, anderes weniger, auch auf Grund des eignen Interesses.	Some things have stuck more, others less, also based on my own interest.	1	6	3	2022-03-02 00:00:00	3.0
ethics	2	1	11	Ich bin sicherer geworden, wenn ich abstrakte Theorien/Ideen in der Praxis anwenden muss	I have become more confident when I have to apply abstract theories/ideas in practice.	1	4	2	2022-04-02 00:00:00	2.0
ethics	2	1	12	Bis zu diesem Zeitpunkt habe ich viel neues gelernt, was mich sehr begeistert, und viel gelesen - in diesem Bezug bin ich also selbstbewusster geworden.	Up to this point, I have learned a lot of new things that I am very excited about, and read a lot - so in that regard, I have become more confident.	1	5	2	2/3/4/	3.0
ethics	2	1	12	Das Gelernte hat einen starken Praxisbezug, da ich mich nach dem Studium in diese Richtung weiterentwickeln möchte.	What I have learned has a strong practical relevance, as I would like to develop in this direction after graduation.	1	5	2	2022-05-02 00:00:00	5.0
ethics	2	1	12	Beim nächsten Mal möchte ich in der Kommunikation selbstsicherer werden und das auch bei den anderen ermutigen, da wir uns etwas Zeit gespart hätten.	Next time I would like to become more confident in communication and encourage that in others as well, as we would have saved some time.	1	6	5	2022-05-03 00:00:00	5.0
ethics	2	1	13	Ich habe erkannt, dass das Thema Ethik der KI sehr aktuell ist und nicht nur Aufmerksamkeit in Form von Diskussionen und Analysen benötigt, da dieser Prozess ein Teil des laufenden Prozesses ist, sondern wir brauchen auch eine Form von Maßnahmen, damit auch eine niedrige Stufe der KI-Implementierung auch die ethische Problematik berücksichtigt, bevor sie in einem realen Szenario implementiert wird.	I realized that the issue of AI ethics is very current and needs not only attention in the form of discussion and analysis as this process is part of the ongoing process, but we also need some form of action so that even a low level of AI implementation also considers the ethical issue before it is implemented in a real scenario.	1	3	2	2/3/4/	3.0
ethics	2	1	14	Ich war mir über Fake News bewusst, aber während ich viele Kritiken über Fake News las, wurde mir klar, wie wirkungsvoll sie sein können und wie sie für politische Zwecke manipuliert werden können.	I was aware of Fake News, but while reading many critiques of Fake News, I realized how effective it can be and how it can be manipulated for political purposes.	1	2	2	0/2	0.0
ethics	2	2	1	Wie oben erwähnt war es für mich eine Herausforderung den Python-Skript zu integrieren.	As mentioned above, it was a challenge for me to integrate the Python script.	1	2	2	0/1/2/	1.0
ethics	2	2	1	Nachdem das nun funktioniert hat, fühle ich mich sicherer.	Now that it has worked, I feel more confident.	1	4	2	2022-04-02 00:00:00	4.0
ethics	2	2	2	Das Ausführen der Python-Datei war nicht einfach, es war unerwartet, irgendwie waren meine Annahmen richtig.	Running the Python file was not easy, it was unexpected, somehow my assumptions were correct.	1	6	2	2	2.0
ethics	2	2	3	Zeitliche Einschränkungen, mangelnde Kommunikation und fehlendes Wissen sind die Herausforderungen und führen zu einigen schlechten Ergebnissen.	Time constraints, lack of communication and lack of knowledge are the challenges and lead to some bad results.	1	2	2	3	3.0
